cycle,concept_id,reason,status
003,FPS-019,Testable criterion (competent practitioner alone with public docs) collapses for large complex systems — only meaningful where freedom-preserving design is already easiest.,confirmed
003,FPS-024,AI-inspectability criteria structurally depend on vendor self-attestation; no external verification mechanism; can be satisfied by compliance documents that disclose nothing actionable.,confirmed
003,FPS-005,Freedom/security distinguishing test is not operationalizable — same mechanism simultaneously serves both legitimate and illegitimate functions; user has no external verification path.,confirmed
006,FPS-030,Circular operationalization — empirical distinguishing test for structural coercion requires zero-exit-cost conditions that are the proposal's design goal not current reality; test is inert in the markets where it is most needed.,confirmed
006,FPS-032,Non-weaponization misclassified as hard obligation — intent-determination requirement defeats enforceability; produces fork-suppression instrument rather than commons protection.,confirmed
006,FPS-019,Tier self-assignment without external verification — tiered modifiability criterion is self-attestation-dependent; reproduces the AI-inspectability self-attestation failure mode it was introduced to improve upon.,confirmed
006,FPS-031,Reversibility criterion 3 conflicts with security-by-design — no-irreversible-defaults requirement conflicts with intentionally irreversible security defaults (key generation, passphrase hashing, certificate enrollment); freedom/security contradiction reproduced unresolved inside the reversibility sub-principle.,confirmed
006,FPS-028,Assessment mechanism meta-governance-gap — the periodic assessment mechanism is itself ungoverned and unfunded; unfunded-obligation anti-pattern applied recursively; mechanism designed to detect freedom-decay is subject to freedom-decay.,confirmed
009,FPS-040,Matrix independence claims conflate formal and practical separability — runtime attestation that execution matches published source requires provider cooperation; self-attestation failure mode (FPS-024) reproduced in a new register.,confirmed
009,FPS-035,Exit ecosystem testability claim premature — three components (availability, viability, discoverability) lack measurement thresholds or evaluator criteria; ecosystem maintenance obligation unassigned with no governance mechanism.,confirmed
009,FPS-036,Legible-defaults fails practical freedom test at disclosure scale — habituated dismissal is the documented modal outcome of high-volume disclosure requirements (cookie-consent parallel); FM9 relocated not resolved.,confirmed
009,FPS-039,Regulatory compliance outputs calibrated for regulatory requirements not freedom-preservation requirements; double-duty claim depends on genuine overlap that is partial; strategy reduces costs without generating freedom outputs.,confirmed
